region,quarter,month,revenue_cny,ingredient_cost_cny,orders
North,Q2,Apr,84000.00,28000.00,3000
North,Q2,May,96000.00,32640.00,3200
North,Q2,Jun,108000.00,37800.00,3600
North,Q3,Jul,105000.00,35700.00,3500
North,Q3,Aug,117600.00,39984.00,3920
North,Q3,Sep,126000.00,45360.00,4200
Central,Q2,Apr,72000.00,21600.00,2400
Central,Q2,May,81000.00,25110.00,2700
Central,Q2,Jun,90000.00,28800.00,3000
Central,Q3,Jul,85500.00,27360.00,2850
Central,Q3,Aug,94500.00,31185.00,3150
Central,Q3,Sep,102600.00,34884.00,3420
South,Q2,Apr,66000.00,19800.00,2200
South,Q2,May,69000.00,22080.00,2300
South,Q2,Jun,75000.00,25500.00,2500
South,Q3,Jul,81000.00,27540.00,2700
South,Q3,Aug,90000.00,32400.00,3000
South,Q3,Sep,96000.00,36480.00,3200
